epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,561.579,1.9805,3.23862,2.22911,0.92624,0.2136,0.25803,0.12142,2.06934,2.98284,2.44059,0.000475751,0.000475751,0.000475751
2,1039.05,1.58962,2.62143,1.89049,0.5969,0.31966,0.25788,0.15606,1.66998,2.89605,2.10025,0.000936375,0.000936375,0.000936375
3,1516.74,1.52919,2.39083,1.84639,0.63944,0.32636,0.29101,0.13091,1.86204,3.19518,2.85783,0.00138128,0.00138128,0.00138128
4,1936.77,1.45212,2.18516,1.78359,0.50877,0.38092,0.24867,0.12628,1.58561,4.09791,2.03157,0.00135826,0.00135826,0.00135826
5,2354.4,1.35918,2.02425,1.68582,0.5207,0.37005,0.2176,0.11814,1.78017,4.4324,2.31073,0.00133469,0.00133469,0.00133469
6,2849.67,1.34092,1.89894,1.68283,0.58124,0.45435,0.26991,0.14311,1.56345,3.29172,1.90362,0.00131111,0.00131111,0.00131111
7,3333.54,1.25612,1.73761,1.61346,0.67732,0.38766,0.36629,0.16438,1.68786,2.67092,2.06983,0.00128753,0.00128753,0.00128753
8,3792.94,1.25558,1.78041,1.60956,0.75726,0.40987,0.42187,0.25188,1.59155,1.91811,2.15252,0.00126395,0.00126395,0.00126395
9,4282.75,1.20708,1.63819,1.58083,0.57246,0.57583,0.54176,0.24701,1.65211,1.82806,2.39882,0.00124037,0.00124037,0.00124037
10,4674.97,1.13018,1.54827,1.51324,0.77941,0.42275,0.43526,0.21336,1.53746,1.54433,2.14154,0.00121679,0.00121679,0.00121679
11,5043.31,1.12147,1.51315,1.51669,0.47776,0.45844,0.43556,0.23133,1.5731,1.45275,2.29551,0.00119322,0.00119322,0.00119322
12,5413.75,1.09005,1.46423,1.50565,0.48326,0.49969,0.42779,0.19266,1.57968,1.85843,2.40492,0.00116964,0.00116964,0.00116964
13,5774.42,1.07753,1.39438,1.48726,0.36017,0.43066,0.39146,0.20798,1.50629,1.77356,2.02019,0.00114606,0.00114606,0.00114606
14,6132.87,1.07951,1.43286,1.49188,0.37587,0.43035,0.33906,0.1715,1.58267,2.02171,2.17973,0.00112248,0.00112248,0.00112248
15,6489.5,1.02298,1.33947,1.44218,0.46821,0.54476,0.45072,0.24394,1.38861,1.41011,1.85015,0.0010989,0.0010989,0.0010989
16,6851.89,1.01138,1.30306,1.4422,0.41491,0.57068,0.446,0.23156,1.50277,1.43004,2.1534,0.00107532,0.00107532,0.00107532
17,7213.36,0.93965,1.22284,1.37585,0.43788,0.57078,0.47919,0.24787,1.52356,1.41777,2.32187,0.00105174,0.00105174,0.00105174
18,7568.4,0.97627,1.26365,1.40608,0.49813,0.66865,0.55292,0.31352,1.42086,1.37297,1.95577,0.00102817,0.00102817,0.00102817
19,7913.31,0.89615,1.18955,1.33576,0.47553,0.69513,0.63628,0.29293,1.40546,1.3655,2.04522,0.00100459,0.00100459,0.00100459
20,8255.04,0.92486,1.23208,1.36787,0.57742,0.70668,0.63036,0.27868,1.41457,1.26748,1.96714,0.000981008,0.000981008,0.000981008
21,8603.06,0.90151,1.17288,1.3536,0.47948,0.48347,0.49735,0.25423,1.49077,1.23301,2.19694,0.00095743,0.00095743,0.00095743
22,8950.97,0.92827,1.19767,1.38126,0.43435,0.5958,0.4969,0.26938,1.46377,1.27925,2.13369,0.000933851,0.000933851,0.000933851
23,9294.93,0.8861,1.13075,1.33255,0.55183,0.55107,0.4791,0.26963,1.51477,1.18664,2.22672,0.000910273,0.000910273,0.000910273
24,9637.92,0.90727,1.15004,1.34846,0.43339,0.605,0.4786,0.25248,1.46658,1.42501,2.31244,0.000886694,0.000886694,0.000886694
25,9984.32,0.8743,1.14019,1.33409,0.59078,0.65909,0.6617,0.30225,1.40052,1.12323,2.25027,0.000863116,0.000863116,0.000863116
26,10332.9,0.84485,1.06585,1.32865,0.49862,0.55846,0.48278,0.25509,1.4792,1.22225,2.22201,0.000839537,0.000839537,0.000839537
27,10687.4,0.86894,1.09803,1.32056,0.59137,0.59779,0.55961,0.30331,1.37211,1.25685,2.02338,0.000815959,0.000815959,0.000815959
28,11039.5,0.82342,1.07614,1.30929,0.54769,0.57739,0.53929,0.27903,1.39876,1.41123,2.05506,0.00079238,0.00079238,0.00079238
